Data,Otwarcie,Najwyższy,Najniższy,Zamknięcie,Ticker
2026-04-17,3.74,3.74,3.74,3.74,WIBOR_ON
2026-04-17,3.89,3.89,3.89,3.89,WIBOR_6M
2026-04-17,3.87,3.87,3.87,3.87,WIBOR_3M
2026-04-17,3.76,3.76,3.76,3.76,WIBOR_1M
2026-04-17,3.46,3.46,3.46,3.46,WIBID_ON
2026-04-16,3.78,3.78,3.78,3.78,WIBOR_ON
2026-04-16,3.88,3.88,3.88,3.88,WIBOR_6M
2026-04-16,3.84,3.84,3.84,3.84,WIBOR_3M
2026-04-16,3.77,3.77,3.77,3.77,WIBOR_1M
2026-04-16,3.49,3.49,3.49,3.49,WIBID_ON
2026-04-15,3.79,3.79,3.79,3.79,WIBOR_ON
2026-04-15,3.88,3.88,3.88,3.88,WIBOR_6M
2026-04-15,3.84,3.84,3.84,3.84,WIBOR_3M
2026-04-15,3.79,3.79,3.79,3.79,WIBOR_1M
2026-04-15,3.5,3.5,3.5,3.5,WIBID_ON
2026-04-14,3.73,3.73,3.73,3.73,WIBOR_ON
2026-04-14,3.88,3.88,3.88,3.88,WIBOR_6M
2026-04-14,3.85,3.85,3.85,3.85,WIBOR_3M
2026-04-14,3.79,3.79,3.79,3.79,WIBOR_1M
2026-04-14,3.43,3.43,3.43,3.43,WIBID_ON
2026-04-13,3.73,3.73,3.73,3.73,WIBOR_ON
2026-04-13,3.88,3.88,3.88,3.88,WIBOR_6M
2026-04-13,3.85,3.85,3.85,3.85,WIBOR_3M
2026-04-13,3.81,3.81,3.81,3.81,WIBOR_1M
2026-04-13,3.44,3.44,3.44,3.44,WIBID_ON
2026-04-10,3.72,3.72,3.72,3.72,WIBOR_ON
2026-04-10,3.88,3.88,3.88,3.88,WIBOR_6M
2026-04-10,3.84,3.84,3.84,3.84,WIBOR_3M
2026-04-10,3.81,3.81,3.81,3.81,WIBOR_1M
2026-04-10,3.42,3.42,3.42,3.42,WIBID_ON
2026-04-09,3.6,3.6,3.6,3.6,WIBOR_ON
2026-04-09,3.88,3.88,3.88,3.88,WIBOR_6M
2026-04-09,3.85,3.85,3.85,3.85,WIBOR_3M
2026-04-09,3.81,3.81,3.81,3.81,WIBOR_1M
2026-04-09,3.3,3.3,3.3,3.3,WIBID_ON
2026-04-08,3.61,3.61,3.61,3.61,WIBOR_ON
2026-04-08,3.88,3.88,3.88,3.88,WIBOR_6M
2026-04-08,3.84,3.84,3.84,3.84,WIBOR_3M
2026-04-08,3.8,3.8,3.8,3.8,WIBOR_1M
2026-04-08,3.32,3.32,3.32,3.32,WIBID_ON
2026-04-07,3.62,3.62,3.62,3.62,WIBOR_ON
2026-04-07,3.9,3.9,3.9,3.9,WIBOR_6M
2026-04-07,3.85,3.85,3.85,3.85,WIBOR_3M
2026-04-07,3.79,3.79,3.79,3.79,WIBOR_1M
2026-04-07,3.32,3.32,3.32,3.32,WIBID_ON
2026-04-03,3.61,3.61,3.61,3.61,WIBOR_ON
2026-04-03,3.88,3.88,3.88,3.88,WIBOR_6M
2026-04-03,3.85,3.85,3.85,3.85,WIBOR_3M
2026-04-03,3.77,3.77,3.77,3.77,WIBOR_1M
2026-04-03,3.31,3.31,3.31,3.31,WIBID_ON
2026-04-02,3.69,3.69,3.69,3.69,WIBOR_ON
2026-04-02,3.88,3.88,3.88,3.88,WIBOR_6M
2026-04-02,3.85,3.85,3.85,3.85,WIBOR_3M
2026-04-02,3.82,3.82,3.82,3.82,WIBOR_1M
2026-04-02,3.39,3.39,3.39,3.39,WIBID_ON
2026-04-01,3.71,3.71,3.71,3.71,WIBOR_ON
2026-04-01,3.87,3.87,3.87,3.87,WIBOR_6M
2026-04-01,3.85,3.85,3.85,3.85,WIBOR_3M
2026-04-01,3.81,3.81,3.81,3.81,WIBOR_1M
2026-04-01,3.41,3.41,3.41,3.41,WIBID_ON
2026-03-31,3.59,3.59,3.59,3.59,WIBOR_ON
2026-03-31,3.89,3.89,3.89,3.89,WIBOR_6M
2026-03-31,3.85,3.85,3.85,3.85,WIBOR_3M
2026-03-31,3.81,3.81,3.81,3.81,WIBOR_1M
2026-03-31,3.29,3.29,3.29,3.29,WIBID_ON
2026-03-30,3.63,3.63,3.63,3.63,WIBOR_ON
2026-03-30,3.89,3.89,3.89,3.89,WIBOR_6M
2026-03-30,3.85,3.85,3.85,3.85,WIBOR_3M
2026-03-30,3.77,3.77,3.77,3.77,WIBOR_1M
2026-03-30,3.33,3.33,3.33,3.33,WIBID_ON
2026-03-27,3.74,3.74,3.74,3.74,WIBOR_ON
2026-03-27,3.9,3.9,3.9,3.9,WIBOR_6M
2026-03-27,3.86,3.86,3.86,3.86,WIBOR_3M
2026-03-27,3.81,3.81,3.81,3.81,WIBOR_1M
2026-03-27,3.45,3.45,3.45,3.45,WIBID_ON
2026-03-26,3.71,3.71,3.71,3.71,WIBOR_ON
2026-03-26,3.89,3.89,3.89,3.89,WIBOR_6M
2026-03-26,3.84,3.84,3.84,3.84,WIBOR_3M
2026-03-26,3.82,3.82,3.82,3.82,WIBOR_1M
2026-03-26,3.41,3.41,3.41,3.41,WIBID_ON
2026-03-25,3.76,3.76,3.76,3.76,WIBOR_ON
2026-03-25,3.88,3.88,3.88,3.88,WIBOR_6M
2026-03-25,3.84,3.84,3.84,3.84,WIBOR_3M
2026-03-25,3.84,3.84,3.84,3.84,WIBOR_1M
2026-03-25,3.47,3.47,3.47,3.47,WIBID_ON
2026-03-24,3.7,3.7,3.7,3.7,WIBOR_ON
2026-03-24,3.9,3.9,3.9,3.9,WIBOR_6M
2026-03-24,3.85,3.85,3.85,3.85,WIBOR_3M
2026-03-24,3.83,3.83,3.83,3.83,WIBOR_1M
